"","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","idvarstate","state","year","robotpct_state","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage_state"
"23",34,"Total",3689,4318617.77428333,624598.149558334,662455.79875,0.144629180431366,0.15339532494545,"MI",15.339532494545,"Michigan-2018","Michigan","2018",35.6,"Michigan-2018",56.697,5.3,57,18.8,94.6,9,48.4728
"24",41,"Total",2304,2637049.50702501,395407.374566667,421226.224466667,0.149943098425865,0.159733906388283,"MN",15.9733906388283,"Minnesota-2018","Minnesota","2018",24.5,"Minnesota-2018",70.315,3.4,65.9,13.1,95.6,7.6,52.4988
"25",64,"Total",2635,1122639.96076667,57656.2595083333,79852.5970166667,0.0513577461242676,0.0711292997002602,"MS",7.11292997002602,"Mississippi-2018","Mississippi","2018",21.9,"Mississippi-2018",44.717,7.1,52.9,13.2,87.9,12.4,44.2070833333333
"26",43,"Total",2282,2681075.86456667,251769.568608333,283111.17635,0.0939061716198921,0.105596110224724,"MO",10.5596110224724,"Missouri-2018","Missouri","2018",23.1,"Missouri-2018",54.478,4.2,58.6,11.4,90.6,8.2,45.6004
"27",81,"Total",2805,427301.485358333,50441.3085416667,59926.196475,0.118046179413795,0.140243366360664,"MT",14.0243366360664,"Montana-2018","Montana","2018",NA,"Montana-2018",55.328,3.5,59.9,5.5,91.8,9.4,46.6819047619048
"28",46,"Total",2133,883808.450108332,58446.8763416667,70849.7049416667,0.066130705177784,0.0801640972495079,"NE",8.01640972495079,"Nebraska-2018","Nebraska","2018",26,"Nebraska-2018",59.566,3.5,64.6,9.7,91.7,7.6,43.5504545454545
"29",88,"Total",2145,1377051.78956666,190774.387783333,215462.664333334,0.138538286089897,0.156466633081436,"NV",15.6466633081436,"Nevada-2018","Nevada","2018",11.7,"Nevada-2018",58.646,5.6,59.1,4.7,88.8,9.8,46.4431818181818
"30",12,"Total",2451,664204.281541668,67707.44535,77092.4925,0.101937681436539,0.116067439317703,"NH",11.6067439317703,"New Hampshire-2018","New Hampshire","2018",20.5,"New Hampshire-2018",74.991,3.6,62.6,12.7,94.3,5.5,52.6688
"31",22,"Total",3270,3932704.80539166,587218.828066667,638845.504741667,0.149316787719727,0.162444308400154,"NJ",16.2444308400154,"New Jersey-2018","New Jersey","2018",13.1,"New Jersey-2018",81.74,4.9,60.4,8,92.6,8,55.1192
"32",85,"Total",2455,812502.002658334,55336.205125,66315.7192083333,0.0681059285998344,0.081619143486023,"NM",8.1619143486023,"New Mexico-2018","New Mexico","2018",13.7,"New Mexico-2018",47.169,6.1,52.1,4,90.5,13.3,45.9117391304348
